Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"CAN0_SPI_IN","OffPage","05 - Gb ENET","5","SCHEMATIC1","R22.1,R25.1,TP7.1","960","171","3D","[5,7]"
"CAN0_SPI_IN","OffPage","05 - Gb ENET","5","SCHEMATIC1","R22.1,R25.1,TP7.1","961","123","3D","[5,7]"
"CAN0_SPI_IN","OffPage","07 - CAN PHY","7","SCHEMATIC1","U7.11","505","270","4D","[5]"
"GPIO[6]","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP4.1,U5B.H17","628","100","4D","[5,7]"
"GPIO[6]","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP4.1,U5B.H17","1369","150","2D","[5,7]"
"CAN0_SPI_CLK","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP4.1,U5B.H17","963","99","3D","[7]"
"CAN0_SPI_CLK","OffPage","07 - CAN PHY","7","SCHEMATIC1","U7.8","486","330","4D","[5]"
"ETIMER2_ETC0","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.52","1330","420","2C","[5]"
"ETIMER2_ETC0","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.K17","1370","380","2C","[6]"
"GPIO[124]","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP6.1,U5B.D13","1370","220","2D","[5,7]"
"GPIO[124]","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP6.1,U5B.D13","622","214","4D","[5,7]"
"CAN0_SPI_CIP","OffPage","05 - Gb ENET","5","SCHEMATIC1","TP6.1,U5B.D13","960","214","3D","[7]"
"CAN0_SPI_CIP","OffPage","07 - CAN PHY","7","SCHEMATIC1","U7.14","560","135","4D","[5]"
"GPIO[7]","OffPage","05 - Gb ENET","5","SCHEMATIC1","R22.2,R23.2,U5B.A15","1369","160","2D","[5]"
"GPIO[7]","OffPage","05 - Gb ENET","5","SCHEMATIC1","R22.2,R23.2,U5B.A15","626","123","4D","[5]"
"GPIO[8]","OffPage","05 - Gb ENET","5","SCHEMATIC1","R25.2,R26.2,U5B.D15","1370","170","2D","[5]"
"GPIO[8]","OffPage","05 - Gb ENET","5","SCHEMATIC1","R25.2,R26.2,U5B.D15","625","171","4D","[5]"
"GPIO[42]","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.D14","1370","180","2D","[7]"
"GPIO[42]","OffPage","07 - CAN PHY","7","SCHEMATIC1","DS4.1","865","54","3D","[5]"
"GPIO[128]","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.D12","1370","200","2D","[7]"
"GPIO[128]","OffPage","07 - CAN PHY","7","SCHEMATIC1","DS7.1","861","218","3D","[5]"
"TEMP","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","U5A.U2","367","270","5D","[5]"
"TEMP","OffPage","05 - Gb ENET","5","SCHEMATIC1","C133.1,R21.2,R24.1","271","187","5D","[6]"
"RESET_B","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.23,J2.9,U5A.T17","340","740","5B","[4,5,6]"
"RESET_B","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.23,J2.9,U5A.T17","1630","280","1D","[4,5,6]"
"RESET_B","OffPage","05 - Gb ENET","5","SCHEMATIC1","U6.3","683","1177","4A","[4,6]"
"RESET_B","OffPage","04 - Supply & Decoupling","4","SCHEMATIC1","R20.2","1610","1110","1B","[5,6]"
"VREG_SWP","OffPage","04 - Supply & Decoupling","4","SCHEMATIC1","U5C.R16","1320","670","2C","[3]"
"VREG_SWP","OffPage","03 - Regulation","3","SCHEMATIC1","Q1.3","334","856","5B","[4]"
"12v_TEST_ON","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.B11","1369","90","2D","[7]"
"12v_TEST_ON","OffPage","07 - CAN PHY","7","SCHEMATIC1","U18.5","718","877","4B","[5]"
"SW_TEST","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","U5A.R3","366","250","5D","[7]"
"SW_TEST","OffPage","07 - CAN PHY","7","SCHEMATIC1","C230.1,R144.2,R145.1","1374","1187","2A","[6]"
"DSPI2_SIN","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.28","1320","300","2D","[5]"
"DSPI2_SIN","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.D17","1370","350","2D","[6]"
"DSPI2_SCK","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.32","1320","320","2D","[5]"
"DSPI2_SCK","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.F15","1370","340","2D","[6]"
"5V0_TEST","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","U5A.J4","367","300","5D","[3]"
"5V0_TEST","OffPage","03 - Regulation","3","SCHEMATIC1","C184.1,R87.1,R92.2","614","1318","4A","[6]"
"3V3_SW_REG_TEST","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","U5A.K4","367","320","5D","[3]"
"3V3_SW_REG_TEST","OffPage","03 - Regulation","3","SCHEMATIC1","C185.1,R85.1,R93.2","798","1322","3A","[6]"
"DSPI2_CS0","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.30","1320","310","2D","[5]"
"DSPI2_CS0","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.C16","1370","310","2D","[6]"
"INTPUT_TEST","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","U5A.L1","367","310","5D","[7]"
"INTPUT_TEST","OffPage","07 - CAN PHY","7","SCHEMATIC1","C228.1,R140.2,R141.1","1368","1005","2B","[6]"
"BI_DA+","OffPage","05 - Gb ENET","5","SCHEMATIC1","C145.2,R42.2","1762","1017","1B","[7]"
"BI_DA+","OffPage","07 - CAN PHY","7","SCHEMATIC1","D7.,JP1.3","1390","40","2D","[5]"
"12V_TEST","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","U5A.T3","366","240","5D","[7]"
"12V_TEST","OffPage","07 - CAN PHY","7","SCHEMATIC1","R149.1","387","1045","4B","[6]"
"CAN0_EOUT","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.A11","1369","80","2D","[7]"
"CAN0_EOUT","OffPage","07 - CAN PHY","7","SCHEMATIC1","R60.1,U8.1","361","535","5C","[5]"
"REG_SYNC","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.J14","1880","500","1C","[3]"
"REG_SYNC","OffPage","03 - Regulation","3","SCHEMATIC1","U1.17,U2.17","264","283","5D","[3,5]"
"REG_SYNC","OffPage","03 - Regulation","3","SCHEMATIC1","U1.17,U2.17","1317","289","2D","[3,5]"
"BI_DA-","OffPage","05 - Gb ENET","5","SCHEMATIC1","C146.2,R41.2","1762","1037","1B","[7]"
"BI_DA-","OffPage","07 - CAN PHY","7","SCHEMATIC1","D2.,JP1.4","1390","50","2D","[5]"
"DSPI2_SOUT","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.26","1320","290","2D","[5]"
"DSPI2_SOUT","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.B16","1370","480","2C","[6]"
"ETIMER2_ETC3","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.12","1300","220","2D","[5]"
"ETIMER2_ETC3","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.B14","1370","320","2D","[6]"
"CTE_RFS","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.22","1310","270","2D","[5]"
"CTE_RFS","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.B15","1370","240","2D","[6]"
"SIUL_EIRQ5","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.38","1320","350","2D","[5]"
"SIUL_EIRQ5","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.F14","1370","460","2C","[6]"
"CAN0_TXD","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.L15","1840","80","1D","[7]"
"CAN0_TXD","OffPage","07 - CAN PHY","7","SCHEMATIC1","U8.2","361","565","5C","[5]"
"CAN0_RXD","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.M17","1840","90","1D","[7]"
"CAN0_RXD","OffPage","07 - CAN PHY","7","SCHEMATIC1","R53.2,R55.2","171","123","5D","[5,7]"
"CAN0_RXD","OffPage","07 - CAN PHY","7","SCHEMATIC1","R53.2,R55.2","171","175","5D","[5,7]"
"4V2_SW_REG_MON","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","U5A.L2","369","330","5D","[3]"
"4V2_SW_REG_MON","OffPage","03 - Regulation","3","SCHEMATIC1","C186.1,R19.1,R94.2","1025","1322","3A","[6]"
"LED_ON/OFF","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.M15","1840","100","1D","[7]"
"LED_ON/OFF","OffPage","07 - CAN PHY","7","SCHEMATIC1","Q19.2,R150.2","872","1233","3A","[5]"
"INTPUT","OffPage","03 - Regulation","3","SCHEMATIC1","C208.2,R83.1,U13.4,U16.2","1362","977","2B","[7]"
"INTPUT","OffPage","07 - CAN PHY","7","SCHEMATIC1","Q4.2,R56.1","1321","209","2D","[3]"
"LED_PWM","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.B13","1370","120","2D","[7]"
"LED_PWM","OffPage","07 - CAN PHY","7","SCHEMATIC1","U18.6","718","897","4B","[5]"
"LED_TEST","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","U5A.T2","367","260","5D","[7]"
"LED_TEST","OffPage","07 - CAN PHY","7","SCHEMATIC1","R135.1","877","1079","3B","[6]"
"CTE_RCS","OffPage","06 - MIPI-CSI2","6","SCHEMATIC1","J1.27","1630","300","1D","[5]"
"CTE_RCS","OffPage","05 - Gb ENET","5","SCHEMATIC1","U5B.B17","1370","250","2D","[6]"
"VREG_I-SENSE","OffPage","04 - Supply & Decoupling","4","SCHEMATIC1","U5C.N15","1400","620","2C","[3]"
"VREG_I-SENSE","OffPage","03 - Regulation","3","SCHEMATIC1","C33.2,R18.1","331","910","5B","[4]"
"CAN0_SPI_OUT","OffPage","05 - Gb ENET","5","SCHEMATIC1","R23.1,R26.1,TP5.1","960","144","3D","[5,7]"
"CAN0_SPI_OUT","OffPage","05 - Gb ENET","5","SCHEMATIC1","R23.1,R26.1,TP5.1","960","192","3D","[5,7]"
"CAN0_SPI_OUT","OffPage","07 - CAN PHY","7","SCHEMATIC1","U7.6","312","310","5D","[5]"
